day,station,week,period,in,out
30,pddd,4,45,2273,1836
30,pddd,6,46,3526,3213
30,pddd,3,69,368,176
30,pddd,1,53,4827,1675
30,pddd,3,28,772,7999
30,pddd,2,42,1432,1474
30,pddd,4,63,2927,472
30,pddd,4,16,11,5
30,pddd,4,17,48,4
30,pddd,5,72,0,60
30,pddd,1,35,893,1543
30,pddd,7,50,3936,2330
30,pddd,2,34,966,1915
30,pddd,7,21,165,689
30,pddd,4,23,472,2024
30,pddd,7,46,2783,2914
30,pddd,5,17,51,17
30,pddd,7,22,314,558
30,pddd,7,29,514,2737
30,pddd,1,54,6960,2161
30,pddd,3,32,825,2154
30,pddd,1,15,1,0
30,pddd,2,57,4507,1924
30,pddd,7,46,3430,2949
30,pddd,4,28,764,7671
30,pddd,2,62,2870,538
30,pddd,1,47,1974,1315
30,pddd,3,16,5,7
30,pddd,6,71,1,58
30,pddd,6,69,692,331
30,pddd,3,21,322,864
30,pddd,4,18,103,31
30,pddd,5,30,767,3701
30,pddd,3,20,187,702
30,pddd,6,59,2852,1234
30,pddd,7,60,3173,1044
30,pddd,7,39,1630,3494
30,pddd,5,24,601,3248
30,pddd,2,50,2290,1298
30,pddd,1,44,1566,1336
30,pddd,3,71,0,46
30,pddd,3,23,484,2162
30,pddd,1,19,182,744
30,pddd,7,22,222,700
30,pddd,4,53,4906,2002
30,pddd,5,22,427,1405
30,pddd,1,47,1896,1345
30,pddd,4,54,7065,2466
30,pddd,7,24,303,596
30,pddd,5,64,4321,538
30,pddd,1,60,2635,823
30,pddd,4,60,2684,776
30,pddd,4,61,2741,592
30,pddd,1,28,776,8057
30,pddd,4,63,2972,454
30,pddd,1,35,823,1454
30,pddd,4,65,2680,362
30,pddd,7,39,1166,3293
30,pddd,3,61,2839,643
30,pddd,6,23,294,1344
30,pddd,3,39,1564,1969
30,pddd,7,40,2031,3397
30,pddd,7,53,3829,2551
30,pddd,6,25,410,2200
30,pddd,7,48,3517,2752
30,pddd,6,27,588,3813
30,pddd,6,54,3861,2839
30,pddd,4,42,2047,1983
30,pddd,3,20,181,610
30,pddd,4,31,789,2418
30,pddd,3,50,2564,1471
30,pddd,1,28,800,7673
30,pddd,3,27,764,11094
30,pddd,4,62,3390,1002
30,pddd,5,25,784,5876
30,pddd,6,46,3465,3224
30,pddd,3,15,1,0
30,pddd,5,28,765,7490
