day,station,week,period,in,out
30,rmgc,2,53,4858,1647
30,rmgc,2,54,7243,1774
30,rmgc,2,55,7290,2043
30,rmgc,2,56,6630,2173
30,rmgc,2,57,4507,1924
30,rmgc,2,58,3410,1249
30,rmgc,2,59,2742,938
30,rmgc,2,60,2312,647
30,rmgc,2,61,2399,451
30,rmgc,2,62,2338,445
30,rmgc,2,63,2117,349
30,rmgc,2,64,2263,338
30,rmgc,2,65,1948,290
30,rmgc,2,66,1709,264
30,rmgc,2,67,3137,224
30,rmgc,2,68,648,257
30,rmgc,2,69,272,167
30,rmgc,2,70,25,207
30,rmgc,2,71,0,77
30,rmgc,2,72,0,62
30,rmgc,3,15,3,1
30,rmgc,3,16,5,7
30,rmgc,3,17,54,18
30,rmgc,3,18,66,32
30,rmgc,3,19,129,412
30,rmgc,3,20,181,610
30,rmgc,3,21,322,864
30,rmgc,3,22,419,1379
30,rmgc,3,23,468,1980
30,rmgc,3,24,624,3423
30,rmgc,3,25,780,5940
30,rmgc,3,26,819,8824
30,rmgc,3,27,714,11543
30,rmgc,3,28,772,7999
30,rmgc,3,29,673,5218
30,rmgc,3,30,759,3277
30,rmgc,3,31,768,2446
30,rmgc,3,32,825,2154
30,rmgc,3,33,851,1992
30,rmgc,3,34,949,1870
30,rmgc,3,35,959,1749
30,rmgc,3,36,1152,1849
30,rmgc,3,37,1255,1629
30,rmgc,3,38,1364,1743
30,rmgc,3,39,1579,1988
30,rmgc,3,40,1567,2014
30,rmgc,3,41,1657,1830
30,rmgc,3,42,1681,1889
30,rmgc,3,43,1851,1749
30,rmgc,3,44,1798,1739
30,rmgc,3,45,1943,1521
30,rmgc,3,46,2173,1461
30,rmgc,3,47,2231,1529
30,rmgc,3,48,2275,1435
30,rmgc,3,49,2506,1423
30,rmgc,3,50,2411,1394
30,rmgc,3,51,2907,1399
30,rmgc,3,52,4382,1631
30,rmgc,3,53,4990,2111
30,rmgc,3,54,6991,2411
30,rmgc,3,55,7507,2672
30,rmgc,3,56,6434,2599
30,rmgc,3,57,4489,2487
30,rmgc,3,58,3580,1511
30,rmgc,3,59,2932,1222
30,rmgc,3,60,2485,847
30,rmgc,3,61,2791,678
30,rmgc,3,62,2910,531
30,rmgc,3,63,2971,464
30,rmgc,3,64,3129,421
30,rmgc,3,65,2611,406
30,rmgc,3,66,2390,354
30,rmgc,3,67,3768,275
30,rmgc,3,68,922,243
30,rmgc,3,69,368,176
30,rmgc,3,70,34,200
30,rmgc,3,71,0,54
30,rmgc,3,72,0,63
30,rmgc,4,15,0,0
30,rmgc,4,16,11,5
30,rmgc,4,17,48,4
30,rmgc,4,18,97,30
30,rmgc,4,19,124,394
30,rmgc,4,20,207,606
30,rmgc,4,21,295,921
30,rmgc,4,22,397,1313
30,rmgc,4,23,472,2024
30,rmgc,4,24,554,3323
30,rmgc,4,25,730,5851
30,rmgc,4,26,787,8902
30,rmgc,4,27,775,11431
30,rmgc,4,28,723,7797
30,rmgc,4,29,645,5049
30,rmgc,4,30,761,3688
30,rmgc,4,31,755,2337
30,rmgc,4,32,821,2243
30,rmgc,4,33,914,1972
30,rmgc,4,34,967,1857
30,rmgc,4,35,1066,1778
30,rmgc,4,36,1210,1841
30,rmgc,4,37,1248,1724
30,rmgc,4,38,1388,1831
30,rmgc,4,39,1519,1712
30,rmgc,4,40,1693,1831
30,rmgc,4,41,1670,1864
30,rmgc,4,42,1783,1858
30,rmgc,4,43,1822,1723
30,rmgc,4,44,1785,1717
30,rmgc,4,45,2057,1464
30,rmgc,4,46,2218,1467
30,rmgc,4,47,2424,1527
30,rmgc,4,48,2395,1502
30,rmgc,4,49,2591,1445
30,rmgc,4,50,2501,1415
30,rmgc,4,51,2753,1389
30,rmgc,4,52,4246,1791
30,rmgc,4,53,4906,2002
30,rmgc,4,54,7065,2466
30,rmgc,4,55,7050,2722
30,rmgc,4,56,6346,2782
30,rmgc,4,57,4468,2241
30,rmgc,4,58,3441,1539
30,rmgc,4,59,3003,1023
30,rmgc,4,60,2684,776
30,rmgc,4,61,2741,592
30,rmgc,4,62,2721,546
30,rmgc,4,63,2972,454
30,rmgc,4,64,3249,366
30,rmgc,4,65,2680,362
30,rmgc,4,66,2802,316
30,rmgc,4,67,3545,297
30,rmgc,4,68,965,233
30,rmgc,4,69,371,185
30,rmgc,4,70,40,215
30,rmgc,4,71,1,66
30,rmgc,4,72,0,42
30,rmgc,5,15,0,0
30,rmgc,5,16,17,5
30,rmgc,5,17,49,16
30,rmgc,5,18,82,57
30,rmgc,5,19,131,1233
30,rmgc,5,20,185,1047
30,rmgc,5,21,334,1084
30,rmgc,5,22,427,1405
30,rmgc,5,23,479,1912
30,rmgc,5,24,599,3032
30,rmgc,5,25,784,5876
30,rmgc,5,26,804,8648
30,rmgc,5,27,734,11788
30,rmgc,5,28,765,7490
30,rmgc,5,29,773,4902
30,rmgc,5,30,780,3754
30,rmgc,5,31,813,2548
30,rmgc,5,32,897,2245
30,rmgc,5,33,877,2147
30,rmgc,5,34,1085,1919
30,rmgc,5,35,1114,1902
30,rmgc,5,36,1364,1914
30,rmgc,5,37,1407,1859
30,rmgc,5,38,1627,2052
30,rmgc,5,39,1639,2168
30,rmgc,5,40,1739,1977
30,rmgc,5,41,1996,2065
30,rmgc,5,42,1956,1998
30,rmgc,5,43,2036,1914
30,rmgc,5,44,2221,1889
30,rmgc,5,45,2329,1998
30,rmgc,5,46,2362,1914
30,rmgc,5,47,2450,1900
30,rmgc,5,48,2533,1879
30,rmgc,5,49,2797,1899
30,rmgc,5,50,2884,2052
30,rmgc,5,51,3125,2079
30,rmgc,5,52,4304,2496
